segment_id,u,v,lat_u,lon_u,lat_v,lon_v,highway,length,lat,lon,umap_x,umap_y,cluster_espacial,cluster_temporal,jam_mean,zona
94,6804295389,8958433073,-16.5400252,-68.1243418,-16.5396845,-68.1238832,residential,193.0839732550459,-16.539854849999998,-68.1241125,-11.713428,-6.716019,-1,0,0.0,lapaz
95,324099575,4085835436,-16.5177154,-68.1293058,-16.5166424,-68.1288989,residential,132.83829022638807,-16.517178899999998,-68.12910235,-8.920054,0.97209966,-1,0,0.11327404769887568,lapaz
96,1344150047,2865566492,-16.4950293,-68.1060162,-16.4942955,-68.1061303,residential,82.49684226592954,-16.4946624,-68.10607325000001,-13.060544,-6.2230883,0,0,0.0,lapaz
97,4368447455,4368447456,-16.4923185,-68.1221877,-16.4923199,-68.1226107,residential,45.10064429585776,-16.492319199999997,-68.12239919999999,-11.36724,-7.427027,-1,0,0.0,lapaz
98,1784846785,6074239388,-16.481249,-68.1240298,-16.4807896,-68.1247793,residential,95.05899736336332,-16.4810193,-68.12440455000001,-8.311536,1.5938025,8,0,0.38562163547308054,lapaz
99,2865566937,2865607601,-16.4974183,-68.0980018,-16.4972186,-68.0971904,residential,102.60005993005991,-16.49731845,-68.0975961,-12.172379,-7.042235,-1,0,0.0,lapaz
100,1333505752,4913096798,-16.5170057,-68.0903834,-16.5164662,-68.0904467,residential,60.658660792814175,-16.516735949999998,-68.09041504999999,-7.990594,1.965415,-1,1,1.6782046417923877,lapaz
101,1784894805,1784894836,-16.4792416,-68.1168889,-16.4801507,-68.1172371,residential,118.01343300921438,-16.479696150000002,-68.117063,-11.443367,-6.3979025,8,0,0.0,lapaz
102,6066709623,6066709626,-16.4440702,-68.1221682,-16.4435718,-68.1221221,residential,55.63727698471919,-16.443821,-68.12214515,-11.7793865,-7.4084077,-1,0,0.0,lapaz
103,2484704955,2484704958,-16.4928381,-68.1471916,-16.4928002,-68.1479452,residential,80.46172928068817,-16.492819150000003,-68.1475684,-11.630297,-7.154034,-1,0,0.0,lapaz
104,1437216239,8977357221,-16.4796158,-68.1456476,-16.4795689,-68.1456231,residential,6.3137514442029925,-16.47959235,-68.14563534999999,-12.200953,-7.1163983,-1,0,0.0,lapaz
105,1436979991,3751492239,-16.5471608,-68.0759709,-16.5469693,-68.0771041,residential,122.83256234756324,-16.54706505,-68.0765375,-11.513653,-6.9147415,2,0,0.0,lapaz
106,1786103050,3039514789,-16.5404604,-68.0991472,-16.5404475,-68.0992316,residential,9.1101447104092,-16.54045395,-68.0991894,-12.742303,-6.313904,-1,0,0.0,lapaz
107,1332023093,1332097408,-16.5305847,-68.0357968,-16.5308972,-68.0363801,residential,71.2300085141317,-16.53074095,-68.03608845,-12.549265,-7.270955,3,0,0.0,lapaz
108,1345047864,3782577831,-16.5072509,-68.095887,-16.5072183,-68.0954622,residential,45.43364080863001,-16.5072346,-68.0956746,-12.661499,-5.8491907,-1,0,0.0,lapaz
109,1332615508,1332615538,-16.5392822,-68.0502314,-16.5392922,-68.0498012,residential,45.87037646375924,-16.539287199999997,-68.05001630000001,-12.583053,-7.4175224,-1,0,0.0,lapaz
110,8958450564,8958450571,-16.5409354,-68.1165379,-16.5418018,-68.1148109,residential,251.8000784166953,-16.5413686,-68.11567439999999,-12.774179,-6.096197,-1,0,0.0,lapaz
111,9925936295,9925936298,-16.5359991,-68.0474143,-16.5358645,-68.0471718,residential,29.86984658017919,-16.5359318,-68.04729305000001,-12.806524,-7.1929836,-1,0,0.0,lapaz
112,1784846872,1784846879,-16.4827381,-68.1263432,-16.4827836,-68.1269108,residential,65.29139944014425,-16.48276085,-68.126627,-12.614065,-7.1041675,10,0,0.0,lapaz
113,1785211027,1785211079,-16.5122437,-68.1349573,-16.5127994,-68.1344055,residential,87.75982927498798,-16.51252155,-68.1346814,-12.343591,-5.4350457,4,0,0.0,lapaz
114,4385380454,4750242895,-16.4931571,-68.1216958,-16.4945216,-68.1216264,residential,151.90605302964676,-16.493839350000002,-68.1216611,-9.356696,1.4379483,1,0,0.13346504149518934,lapaz
115,2862848857,2862848859,-16.4517062,-68.1456535,-16.4505221,-68.1456414,residential,131.67242160038765,-16.451114150000002,-68.14564745,-11.46852,-7.2641654,-1,0,0.0,lapaz
116,1498339164,1498339258,-16.5074323,-68.1485373,-16.5081092,-68.1489638,residential,88.84504917425411,-16.50777075,-68.14875055,-10.746493,-5.6448116,9,0,0.0,lapaz
117,1210088197,1391478002,-16.5446802,-68.0671902,-16.5438091,-68.0668836,residential,102.22886639088858,-16.54424465,-68.0670369,-13.042981,-6.562687,-1,0,0.0,lapaz
118,1210620857,1210622003,-16.4904747,-68.1622533,-16.4899153,-68.1624741,residential,66.50850453995123,-16.490195,-68.1623637,-11.774952,-6.6881256,7,0,0.0,lapaz
119,2864834301,2864893714,-16.4828532,-68.1325244,-16.4714816,-68.1377374,residential,1599.2602003713455,-16.4771674,-68.13513090000001,-11.573442,-4.7040105,-1,0,0.00041053705116036256,lapaz
120,1361256986,1361257103,-16.5127797,-68.106802,-16.5121954,-68.1068904,residential,65.88852557456738,-16.51248755,-68.1068462,-12.594879,-6.7683053,-1,0,0.0,lapaz
121,1345509561,1361257079,-16.5108941,-68.1059424,-16.5117909,-68.1067447,residential,187.31947821353813,-16.5113425,-68.10634354999999,-8.09181,0.95379835,-1,0,0.1692561511903853,lapaz
122,1786102657,1786102659,-16.5319026,-68.1052807,-16.5319604,-68.1049065,residential,40.403589037812495,-16.5319315,-68.1050936,-12.685783,-5.8001943,6,0,0.0,lapaz
123,2866727153,13406662156,-16.5116152,-68.0761676,-16.5111176,-68.0764804,residential,64.9917608873151,-16.5113664,-68.076324,-12.764439,-6.679537,-1,0,0.0,lapaz
124,3782603360,3782603364,-16.5039925,-68.0589135,-16.504443,-68.0588967,residential,50.12539594973974,-16.50421775,-68.0589051,-12.269976,-7.1004257,-1,0,0.0,lapaz
125,6446182905,6446182906,-16.5216169,-68.1232641,-16.5213047,-68.1233021,residential,35.82359530293823,-16.5214608,-68.12328310000001,-12.493074,-6.181761,-1,0,0.0,lapaz
126,8258935166,8979214309,-16.5035052,-68.0761251,-16.5035965,-68.0752105,residential,99.85055434811812,-16.50355085,-68.07566779999999,-12.565737,-6.5805817,-1,0,0.0,lapaz
127,1345733115,1345733213,-16.4919076,-68.1153526,-16.4920167,-68.1155193,residential,24.322835780025198,-16.49196215,-68.11543595,-7.6208153,1.4279115,1,1,0.5695223236468829,lapaz
128,2865723385,2865723386,-16.5138415,-68.0775466,-16.5135,-68.0761222,residential,156.52903036652887,-16.513670750000003,-68.0768344,-12.07785,-7.823158,-1,0,0.0,lapaz
129,2864484571,2864484578,-16.4668652,-68.1059633,-16.4665449,-68.1062597,residential,47.73182931464079,-16.46670505,-68.1061115,-10.450224,-6.5403104,-1,0,0.0,lapaz
130,10606253632,10606253633,-16.5407619,-68.1346368,-16.5408959,-68.1348097,residential,23.699783983089635,-16.5408289,-68.13472325000001,-12.486613,-6.744095,5,0,0.0,lapaz
131,6804295427,8982868936,-16.5328154,-68.1187038,-16.5338824,-68.1198008,residential,178.27808685743742,-16.5333489,-68.1192523,-10.523931,-7.3604465,-1,0,0.0,lapaz
