segment_id,lat,lon,highway,length,cluster_espacial,jam_mean
47,-16.4715533,-68.11273735,residential,32.68673261172306,0,0.0
48,-16.48280505,-68.163205,residential,37.90673894454035,0,0.0
49,-16.507999249999997,-68.10869715,residential,50.25208939571411,0,0.0
50,-16.484460849999998,-68.11413655000001,residential,40.823068676446816,0,0.0
51,-16.5821611,-68.07824719999999,residential,95.2539897614268,0,0.0
52,-16.5331734,-68.1058051,residential,167.3951068530191,0,0.0
53,-16.49367205,-68.1536108,residential,128.67799466516567,0,0.1819305555555556
54,-16.5033641,-68.09375080000001,residential,28.88090951929449,0,0.0
55,-16.5015215,-68.15328149999999,residential,73.05510177774065,0,0.41699999999999937
56,-16.49387875,-68.12699715,residential,88.61516277263613,0,0.24305555555555555
57,-16.4454338,-68.15000665,residential,39.19616751548547,0,0.0
58,-16.51334615,-68.0723151,residential,290.743752936261,0,0.0
59,-16.5263323,-68.140512,residential,42.25055343982303,0,0.0
60,-16.502589399999998,-68.0477506,residential,66.51808348530851,0,0.0
61,-16.5106748,-68.07019869999999,residential,61.877255970748045,0,0.0
62,-16.4964651,-68.13303834999999,residential,92.34512391921358,0,0.5460138888888889
63,-16.497536150000002,-68.0917053,residential,292.9732225524957,0,0.0
64,-16.53207845,-68.038697,residential,30.97026545178306,0,0.0
65,-16.5070487,-68.10107769999999,residential,94.70829407869404,0,0.0
66,-16.5275071,-68.12614525000001,residential,95.24805539416032,0,0.034013888888888885
67,-16.53864205,-68.1353032,residential,106.37316180057417,0,0.0
68,-16.4961355,-68.1158951,residential,170.2561960167899,0,0.0
69,-16.51594935,-68.10396155,residential,130.06967635643755,0,0.0
70,-16.4912166,-68.1059965,residential,40.32098762624557,0,0.0
71,-16.5368029,-68.0497528,residential,22.75598799714693,0,0.0
72,-16.479211,-68.1180828,residential,111.822931459485,0,0.13577777777777783
73,-16.515961400000002,-68.09133645,residential,195.0085405085022,0,0.0
74,-16.50795665,-68.0913257,residential,78.82217288222611,0,0.0
75,-16.5117042,-68.08162795,residential,85.04139399249085,0,0.0
76,-16.489675,-68.15823575,residential,65.92929851852067,0,0.7522638888888887
77,-16.51953615,-68.1462209,residential,233.5592442179553,0,0.0
78,-16.53935165,-68.0956604,residential,66.25631256228601,0,0.0
79,-16.529559,-68.04139895,residential,53.6743370452813,0,0.0
80,-16.5058157,-68.04174055,residential,72.47643584416612,0,0.0
81,-16.5353674,-68.08041324999999,residential,132.22764945469424,0,0.0
82,-16.4669336,-68.130594,residential,91.34839991951036,0,0.0
83,-16.52236235,-68.05557135000001,residential,55.93276542716191,0,0.0
84,-16.54047525,-68.0340055,residential,127.62039406376611,0,0.0
85,-16.4621064,-68.13995815,residential,239.51439771842573,0,0.0
86,-16.48108965,-68.12070935,residential,59.37293933488813,0,0.0
87,-16.5014752,-68.0724463,residential,164.62722793483266,0,0.0
88,-16.50618865,-68.03856815,residential,95.74531600001173,0,0.0
89,-16.54126175,-68.04311145,residential,23.648781092714668,0,0.0
90,-16.5114625,-68.14732935,residential,157.65171914511058,0,0.003069444444444444
91,-16.537181699999998,-68.1221235,residential,309.5336122625661,0,0.0
92,-16.4638208,-68.15030845000001,residential,61.90163517976711,0,0.3124444444444443
93,-16.5246098,-68.12171625,residential,26.42909827766703,0,0.0
94,-16.539854849999998,-68.1241125,residential,193.0839732550459,0,0.0
95,-16.517178899999998,-68.12910235,residential,132.83829022638807,0,0.11662500000000003
96,-16.4946624,-68.10607325000001,residential,82.49684226592954,0,0.0
97,-16.492319199999997,-68.12239919999999,residential,45.10064429585776,0,0.0
98,-16.4810193,-68.12440455000001,residential,95.05899736336332,0,0.3164166666666668
99,-16.49731845,-68.0975961,residential,102.60005993005991,0,0.0
100,-16.516735949999998,-68.09041504999999,residential,60.658660792814175,0,1.6358055555555555
101,-16.479696150000002,-68.117063,residential,118.01343300921438,0,0.0
102,-16.443821,-68.12214515,residential,55.63727698471919,0,0.0
103,-16.492819150000003,-68.1475684,residential,80.46172928068817,0,0.0
104,-16.47959235,-68.14563534999999,residential,6.3137514442029925,0,0.0
105,-16.54706505,-68.0765375,residential,122.83256234756324,0,0.0
106,-16.54045395,-68.0991894,residential,9.1101447104092,0,0.0
107,-16.53074095,-68.03608845,residential,71.2300085141317,0,0.0
108,-16.5072346,-68.0956746,residential,45.43364080863001,0,0.0
109,-16.539287199999997,-68.05001630000001,residential,45.87037646375924,0,0.0
110,-16.5413686,-68.11567439999999,residential,251.8000784166953,0,0.0
111,-16.5359318,-68.04729305000001,residential,29.86984658017919,0,0.0
112,-16.48276085,-68.126627,residential,65.29139944014425,0,0.0
113,-16.51252155,-68.1346814,residential,87.75982927498798,0,0.0
114,-16.493839350000002,-68.1216611,residential,151.90605302964676,0,0.09375
115,-16.451114150000002,-68.14564745,residential,131.67242160038765,0,0.0
116,-16.50777075,-68.14875055,residential,88.84504917425411,0,0.0
117,-16.54424465,-68.0670369,residential,102.22886639088858,0,0.0
118,-16.490195,-68.1623637,residential,66.50850453995123,0,0.0
119,-16.4771674,-68.13513090000001,residential,1599.2602003713455,0,0.0
120,-16.51248755,-68.1068462,residential,65.88852557456738,0,0.0
121,-16.5113425,-68.10634354999999,residential,187.31947821353813,0,0.19520833333333332
122,-16.5319315,-68.1050936,residential,40.403589037812495,0,0.0
123,-16.5113664,-68.076324,residential,64.9917608873151,0,0.0
124,-16.50421775,-68.0589051,residential,50.12539594973974,0,0.0
125,-16.5214608,-68.12328310000001,residential,35.82359530293823,0,0.0
126,-16.50355085,-68.07566779999999,residential,99.85055434811812,0,0.0
127,-16.49196215,-68.11543595,residential,24.322835780025198,0,0.5833333333333334
128,-16.513670750000003,-68.0768344,residential,156.52903036652887,0,0.0
129,-16.46670505,-68.1061115,residential,47.73182931464079,0,0.0
130,-16.5408289,-68.13472325000001,residential,23.699783983089635,0,0.0
131,-16.5333489,-68.1192523,residential,178.27808685743742,0,0.0
132,-16.48370985,-68.0927164,residential,67.87271629665413,0,0.0
