segment_id,umap_x,umap_y
206,21.990341,34.098423
207,22.001598,36.77886
208,19.85635,39.45427
209,21.411654,37.99669
210,22.103346,33.99816
211,20.061037,40.134487
212,20.131922,40.250916
213,23.016392,35.44519
214,22.037027,34.67294
215,20.888603,40.039913
216,22.802847,35.186928
217,21.47745,36.404476
218,21.73192,36.30713
219,19.930908,40.735107
220,22.063334,33.87695
221,21.64496,35.665802
222,19.141846,39.20386
223,20.690914,39.590496
224,21.951927,33.866974
225,19.975737,40.344566
226,19.755209,39.928253
227,22.77883,35.113895
228,21.802065,36.07263
229,22.449923,34.879803
230,21.629265,34.7719
231,21.88281,34.10466
232,22.144083,35.169056
233,21.81753,33.92837
234,21.684704,34.702232
235,21.53139,35.10445
236,21.515404,34.4669
237,19.786789,40.155
238,21.861757,35.83361
239,22.165974,34.52865
240,20.917257,38.412632
241,22.92388,35.58086
242,19.497019,40.794945
243,19.282238,40.569332
244,23.142578,35.509552
245,19.570415,40.09118
246,21.71478,34.169964
247,21.748388,34.24891
248,20.229635,38.832466
249,19.418274,40.63772
