segment_id,street_name,speed_current,speed_free,jam_factor,timestamp,lat,lon,highway
138,,22.25,22.25,0.0,2026-05-25 09:00:00-04:00,-16.52339005,-68.0662786,residential
139,,11.34,11.94,0.526,2026-05-25 09:00:00-04:00,-16.48763065,-68.1389003,residential
140,,16.32,16.32,0.0,2026-05-25 09:00:00-04:00,-16.527541900000003,-68.13150540000001,residential
141,,0.0,18.0,0.0,2026-05-25 09:00:00-04:00,-16.528215850000002,-68.0792787,residential
142,,16.8,15.75,0.0,2026-05-25 09:00:00-04:00,-16.49961825,-68.08253189999999,residential
143,,19.92,19.92,0.0,2026-05-25 09:00:00-04:00,-16.451591,-68.0486404,residential
144,,0.0,10.8,0.0,2026-05-25 09:00:00-04:00,-16.5431147,-68.08324454999999,residential
145,,10.8,10.8,0.0,2026-05-25 09:00:00-04:00,-16.46794845,-68.15508875,residential
146,,21.2,21.2,0.0,2026-05-25 09:00:00-04:00,-16.5742537,-68.08822185,residential
147,,11.95,11.49,0.0,2026-05-25 09:00:00-04:00,-16.4406004,-68.12069205,residential
148,,23.76,23.76,0.0,2026-05-25 09:00:00-04:00,-16.5176192,-68.10985845,residential
149,,13.37,11.7,0.0,2026-05-25 09:00:00-04:00,-16.441943199999997,-68.1530231,residential
150,,20.46,18.51,0.0,2026-05-25 09:00:00-04:00,-16.5071054,-68.13671625,residential
151,,21.6,19.64,0.0,2026-05-25 09:00:00-04:00,-16.551681,-68.06492975,residential
152,,16.2,16.2,0.0,2026-05-25 09:00:00-04:00,-16.4971647,-68.0687803,residential
153,,18.0,18.0,0.0,2026-05-25 09:00:00-04:00,-16.49647185,-68.0639789,residential
154,,17.28,15.71,0.0,2026-05-25 09:00:00-04:00,-16.531482750000002,-68.03885935,residential
155,,11.6,10.44,0.0,2026-05-25 09:00:00-04:00,-16.5084171,-68.14617770000001,residential
156,,15.99,15.99,0.0,2026-05-25 09:00:00-04:00,-16.4801658,-68.13002589999999,residential
157,,12.28,12.28,0.0,2026-05-25 09:00:00-04:00,-16.5131144,-68.0789135,residential
158,,14.6,13.83,0.0,2026-05-25 09:00:00-04:00,-16.4996361,-68.15743219999999,residential
159,,26.4,19.8,0.0,2026-05-25 09:00:00-04:00,-16.462397950000003,-68.140682,residential
160,,10.8,10.41,0.0,2026-05-25 09:00:00-04:00,-16.5412614,-68.09475895,residential
161,,29.4,25.2,0.0,2026-05-25 09:00:00-04:00,-16.548360000000002,-68.07719515,residential
162,,16.56,16.56,0.0,2026-05-25 09:00:00-04:00,-16.565652800000002,-68.08888669999999,residential
163,,15.12,7.56,0.0,2026-05-25 09:00:00-04:00,-16.522249350000003,-68.06294740000001,residential
164,,9.65,9.23,0.0,2026-05-25 09:00:00-04:00,-16.486967399999997,-68.07777695,residential
165,,26.85,25.78,0.0,2026-05-25 09:00:00-04:00,-16.53129445,-68.1266637,residential
166,,15.0,15.0,0.0,2026-05-25 09:00:00-04:00,-16.54772745,-68.0971892,residential
167,,25.2,22.68,0.0,2026-05-25 09:00:00-04:00,-16.54733955,-68.0981886,residential
168,,19.8,18.0,0.0,2026-05-25 09:00:00-04:00,-16.532938350000002,-68.0716999,residential
169,,15.5,14.85,0.0,2026-05-25 09:00:00-04:00,-16.53254955,-68.10335755,residential
170,,26.32,26.32,0.0,2026-05-25 09:00:00-04:00,-16.562731550000002,-68.100044,residential
171,,21.6,20.83,0.0,2026-05-25 09:00:00-04:00,-16.54345825,-68.08581885000001,residential
172,,19.65,18.86,0.0,2026-05-25 09:00:00-04:00,-16.4992696,-68.10172025,residential
173,,17.31,16.53,0.0,2026-05-25 09:00:00-04:00,-16.489911499999998,-68.11200745,residential
174,,21.6,21.6,0.0,2026-05-25 09:00:00-04:00,-16.4831412,-68.1310592,residential
175,,15.98,15.98,0.0,2026-05-25 09:00:00-04:00,-16.513649649999998,-68.11082264999999,residential
176,,26.78,25.75,0.0,2026-05-25 09:00:00-04:00,-16.5352876,-68.1000083,residential
177,,13.71,14.32,0.444,2026-05-25 09:00:00-04:00,-16.479348,-68.14269145,residential
178,,20.16,19.38,0.0,2026-05-25 09:00:00-04:00,-16.48595305,-68.12334444999999,residential
179,,15.3,14.77,0.0,2026-05-25 09:00:00-04:00,-16.4879391,-68.16781455,residential
180,,38.4,28.8,0.0,2026-05-25 09:00:00-04:00,-16.49506775,-68.1484146,residential
181,,20.84,19.8,0.0,2026-05-25 09:00:00-04:00,-16.483025,-68.11897479999999,residential
182,,18.95,19.32,0.192,2026-05-25 09:00:00-04:00,-16.54442865,-68.0850006,residential
183,,15.57,15.57,0.0,2026-05-25 09:00:00-04:00,-16.47856065,-68.11156445,residential
184,,25.2,25.2,0.0,2026-05-25 09:00:00-04:00,-16.4874237,-68.1632097,residential
185,,17.82,16.97,0.0,2026-05-25 09:00:00-04:00,-16.5227757,-68.05022975,residential
186,,14.04,12.76,0.0,2026-05-25 09:00:00-04:00,-16.49557015,-68.1156653,secondary
187,,27.9,25.75,0.0,2026-05-25 09:00:00-04:00,-16.5441282,-68.06371985,secondary
188,,26.16,23.61,0.0,2026-05-25 09:00:00-04:00,-16.52820245,-68.1122188,secondary
189,,15.12,15.12,0.0,2026-05-25 09:00:00-04:00,-16.545399699999997,-68.0914413,secondary
190,,26.67,25.51,0.0,2026-05-25 09:00:00-04:00,-16.52528755,-68.1040516,secondary
191,,18.23,17.15,0.0,2026-05-25 09:00:00-04:00,-16.52244195,-68.14746500000001,secondary
192,,7.63,7.34,0.0,2026-05-25 09:00:00-04:00,-16.541827599999998,-68.07750010000001,secondary
193,,19.28,21.34,1.071,2026-05-25 09:00:00-04:00,-16.546694000000002,-68.0771588,secondary
194,,28.74,28.25,0.0,2026-05-25 09:00:00-04:00,-16.5235781,-68.0668812,secondary
195,,33.3,33.3,0.0,2026-05-25 09:00:00-04:00,-16.46248335,-68.15213890000001,secondary
196,,21.26,21.7,0.207,2026-05-25 09:00:00-04:00,-16.52252375,-68.09114464999999,secondary
197,,31.55,29.36,0.0,2026-05-25 09:00:00-04:00,-16.5178577,-68.11936349999999,secondary
198,,14.77,13.92,0.0,2026-05-25 09:00:00-04:00,-16.49457045,-68.1211748,secondary
199,,26.74,26.74,0.0,2026-05-25 09:00:00-04:00,-16.511862700000002,-68.11800615000001,secondary
200,,21.6,18.0,0.0,2026-05-25 09:00:00-04:00,-16.50899845,-68.1355097,secondary
201,,10.8,13.2,2.222,2026-05-25 09:00:00-04:00,-16.4971831,-68.11936315,secondary
202,,0.0,14.4,0.0,2026-05-25 09:00:00-04:00,-16.505334400000002,-68.11419385,secondary
203,,20.62,18.9,0.0,2026-05-25 09:00:00-04:00,-16.51990085,-68.1394905,secondary
204,,26.34,27.8,0.556,2026-05-25 09:00:00-04:00,-16.515942600000002,-68.08621565,secondary
205,,18.24,17.94,0.0,2026-05-25 09:00:00-04:00,-16.5138018,-68.1437282,secondary
206,,9.83,10.05,0.22,2026-05-25 09:00:00-04:00,-16.49819635,-68.14117405,secondary
207,,44.1,35.28,0.0,2026-05-25 09:00:00-04:00,-16.51736005,-68.0876218,secondary
208,,0.0,0.0,0.0,2026-05-25 09:00:00-04:00,-16.50892535,-68.13566525,secondary
209,,19.44,19.44,0.0,2026-05-25 09:00:00-04:00,-16.4743586,-68.1169668,secondary
210,,10.27,14.01,3.636,2026-05-25 09:00:00-04:00,-16.50500005,-68.12922175,secondary
211,,36.0,24.0,0.0,2026-05-25 09:00:00-04:00,-16.4510437,-68.1493496,secondary
212,,19.41,19.41,0.0,2026-05-25 09:00:00-04:00,-16.45178835,-68.1467434,tertiary
213,,21.48,20.76,0.0,2026-05-25 09:00:00-04:00,-16.51052895,-68.14814580000001,tertiary
214,,9.71,10.07,0.37,2026-05-25 09:00:00-04:00,-16.544958649999998,-68.0765336,tertiary
215,,14.14,14.14,0.0,2026-05-25 09:00:00-04:00,-16.542229,-68.13513435,tertiary
216,,14.91,17.4,1.667,2026-05-25 09:00:00-04:00,-16.50507075,-68.14570895,tertiary
217,,18.45,21.09,1.429,2026-05-25 09:00:00-04:00,-16.49122195,-68.1683803,tertiary
218,,22.09,21.13,0.0,2026-05-25 09:00:00-04:00,-16.492033149999997,-68.11470435,tertiary
219,,23.4,23.4,0.0,2026-05-25 09:00:00-04:00,-16.443742200000003,-68.1447566,tertiary
220,,7.78,9.47,2.174,2026-05-25 09:00:00-04:00,-16.4954216,-68.1448207,tertiary
221,,29.4,25.2,0.0,2026-05-25 09:00:00-04:00,-16.51124105,-68.05803495,tertiary
222,,19.94,18.51,0.0,2026-05-25 09:00:00-04:00,-16.515726,-68.06151355,tertiary
223,,21.6,19.64,0.0,2026-05-25 09:00:00-04:00,-16.52186235,-68.0626077,tertiary
224,,14.04,15.6,1.111,2026-05-25 09:00:00-04:00,-16.5450032,-68.07615630000001,tertiary
225,,8.57,8.57,0.0,2026-05-25 09:00:00-04:00,-16.50164235,-68.14882134999999,tertiary
226,,28.8,19.2,0.0,2026-05-25 09:00:00-04:00,-16.44958025,-68.1455132,tertiary
227,,28.8,25.77,0.0,2026-05-25 09:00:00-04:00,-16.456246550000003,-68.1490924,tertiary
228,,20.26,20.13,0.0,2026-05-25 09:00:00-04:00,-16.5337672,-68.03729419999999,primary
229,,22.43,24.3,0.833,2026-05-25 09:00:00-04:00,-16.526210749999997,-68.1262772,primary
230,,20.03,21.36,0.667,2026-05-25 09:00:00-04:00,-16.5396578,-68.07504800000001,primary
231,,8.2,9.22,1.25,2026-05-25 09:00:00-04:00,-16.5040846,-68.13110395,primary
232,,29.31,22.8,0.0,2026-05-25 09:00:00-04:00,-16.53345345,-68.1418209,primary
233,,12.11,11.1,0.0,2026-05-25 09:00:00-04:00,-16.5304316,-68.1021286,primary
234,,9.72,9.97,0.256,2026-05-25 09:00:00-04:00,-16.5301958,-68.100675,primary
235,,15.59,15.33,0.0,2026-05-25 09:00:00-04:00,-16.538743949999997,-68.08189445,primary
236,,12.76,11.74,0.0,2026-05-25 09:00:00-04:00,-16.50206975,-68.12088545,primary
237,,38.4,34.56,0.0,2026-05-25 09:00:00-04:00,-16.3924205,-68.104758,primary
238,,22.55,23.71,0.517,2026-05-25 09:00:00-04:00,-16.34053255,-68.05449580000001,primary
239,,12.76,14.79,1.597,2026-05-25 09:00:00-04:00,-16.4767656,-68.11930795,primary
240,,136.8,68.4,0.0,2026-05-25 09:00:00-04:00,-16.398519399999998,-68.0453256,unclassified
241,,25.41,27.09,0.661,2026-05-25 09:00:00-04:00,-16.37291285,-68.09040250000001,unclassified
242,,0.0,0.0,0.0,2026-05-25 09:00:00-04:00,-16.448782950000002,-68.00636275,unclassified
243,,20.51,20.51,0.0,2026-05-25 09:00:00-04:00,-16.37776205,-68.1185946,unclassified
244,,45.25,46.11,0.19,2026-05-25 09:00:00-04:00,-16.32708135,-67.9949828,trunk
245,,19.8,18.64,0.0,2026-05-25 09:00:00-04:00,-16.459496899999998,-68.1037683,trunk
246,,37.07,37.89,0.22,2026-05-25 09:00:00-04:00,-16.5295489,-68.1102796,secondary_link
247,,29.83,32.58,0.921,2026-05-25 09:00:00-04:00,-16.5274542,-68.1113234,secondary_link
248,,13.13,11.44,0.0,2026-05-25 09:00:00-04:00,-16.53743275,-68.0484424,primary_link
249,,16.93,16.79,0.0,2026-05-25 09:00:00-04:00,-16.549807,-68.07239630000001,tertiary_link
