segment_id,u,v,lat_u,lon_u,lat_v,lon_v,highway,length,lat,lon
1123,2508479679,2508479677,-16.4990985,-68.1942234,-16.4990185,-68.19371,residential,73.9303419779389,-16.4992203,-68.1937647
1124,2426922178,2426922349,-16.5155687,-68.1983547,-16.5156292,-68.1977022,residential,70.04369330454051,-16.5156202,-68.1978907
1125,2426710305,5519443142,-16.5287203,-68.1945154,-16.5278691,-68.1952723,residential,124.37319096251959,-16.5278691,-68.1952723
1126,5242924538,5242924537,-16.4581998,-68.1657005,-16.4586552,-68.1653526,residential,62.77434129690725,-16.4586552,-68.1653526
1127,2488477236,5517239107,-16.5109967,-68.2171193,-16.5113345,-68.2173681,residential,45.982958070685,-16.5113345,-68.2173681
1128,5517467346,5517467347,-16.4870522,-68.2818999,-16.4868337,-68.2822122,residential,41.21999012521363,-16.4868337,-68.2822122
1129,1786379763,1502813326,-16.5214742,-68.2384041,-16.5214729,-68.2367694,residential,174.26594096524755,-16.5214729,-68.2367694
1130,4912022324,4912022325,-16.5166019,-68.2851284,-16.515974,-68.2853792,residential,74.76374460084992,-16.515974,-68.2853792
1131,2507416911,2507416862,-16.4854493,-68.2248401,-16.4853338,-68.2253324,residential,54.039362218650794,-16.4853338,-68.2253324
1132,2503792891,2503793022,-16.4928163,-68.2469581,-16.4928168,-68.2464933,residential,49.557006877517196,-16.4928168,-68.2464933
1133,2467534116,2467534166,-16.6494684,-68.1777626,-16.6489982,-68.1777838,residential,52.33268602324647,-16.6489982,-68.1777838
1134,2419627095,2419627201,-16.5371222,-68.2114077,-16.5374372,-68.2118315,residential,57.16333951847762,-16.5374372,-68.2118315
1135,5514768258,5514768255,-16.4685484,-68.2920448,-16.4683008,-68.2925483,residential,60.337504055804516,-16.4683008,-68.2925483
1136,2460228180,2460228320,-16.593805,-68.1797684,-16.5928714,-68.1785778,residential,163.93383542339,-16.5928714,-68.1785778
1137,1356095607,1355627453,-16.5846025,-68.1780014,-16.5842257,-68.1782449,residential,49.28338876464728,-16.5842257,-68.1782449
1138,1944953062,2508479675,-16.4970277,-68.1904371,-16.4960442,-68.1901668,residential,113.09383036977839,-16.4960442,-68.1901668
1139,2467368549,2467368627,-16.6264187,-68.1977452,-16.625588,-68.1982639,residential,107.64040296853332,-16.625588,-68.1982639
1140,577476967,577476959,-16.5431023,-68.1939915,-16.5440065,-68.1948069,residential,132.90241268149123,-16.5440065,-68.1948069
1141,577456571,577456573,-16.5440813,-68.1883045,-16.5443992,-68.1879832,residential,49.218531333343606,-16.5443992,-68.1879832
1142,2469037728,2469037950,-16.5917032,-68.2197349,-16.5911763,-68.2202511,residential,80.36564610827577,-16.5911763,-68.2202511
1143,10270291838,10270291811,-16.6149191,-68.158038,-16.6153235,-68.1577021,residential,57.472157019561024,-16.6153235,-68.1577021
1144,412495903,568064715,-16.5181909,-68.1581613,-16.5186057,-68.1578895,residential,54.46995660845362,-16.5186057,-68.1578895
1145,10270226406,10270226407,-16.6341463,-68.1705344,-16.633836,-68.1709293,residential,54.41217762002096,-16.633836,-68.1709293
